鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
中山區,房地(土地+建物),臺北市中山區松江路121~150號,31.46,商,,,1051226,土地1建物2車位0,七層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,611227.0,286.65,4,1,0,有,有,52000000,181406.0,,0.0,0,,RPXNMLTKJHMFFCA48CA,121.53335030000001,25.0528258
中山區,房地(土地+建物),臺北市中山區雙城街4巷1~30號,5.86,商,,,1051214,土地1建物1車位0,三層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,831018.0,43.27,1,1,1,有,有,6500000,150220.0,,0.0,0,,RPQNMLNLJHMFFCA27CA,121.52446409999999,25.0630116
中山區,房地(土地+建物),臺北市中山區新生北路三段31~60號,4.34,商,,,1051230,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,700504.0,42.96,1,1,1,有,有,7200000,167598.0,,0.0,0,,RPPQMLQJJHMFFCA57CA,121.52805759999998,25.064686899999998
北投區,房地(土地+建物),臺北市北投區大業路541~570號,22.25,商,,,1051206,土地2建物1車位0,一層，平台，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,650527.0,66.64,1,1,1,有,無,18200000,273109.0,,0.0,0,,RPUNMLKKJHMFFEA57DA,121.496489,25.135428
中山區,房地(土地+建物),臺北市中山區中山北路一段83巷1~30號,6.14,商,,,1051203,土地1建物1車位0,三層,五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,740129.0,31.48,0,1,1,有,有,5000000,158831.0,,0.0,0,含增建或未登記建物。,RPOSMLNKJHMFFCA57DA,121.52251090000001,25.0504647
中山區,車位,臺北市中山區伊通街125巷1~30號,0.13,住,,,1051119,土地0建物0車位1,一層,十層,其他,商業用,鋼筋混凝土造,900827.0,41.97,0,0,0,有,無,2500000,,升降平面,41.97,2500000,,RPWNMLOKJHMFFCA97DA,121.53476540000001,25.0480342
中山區,房地(土地+建物),臺北市中山區松江路1~30號,2.51,商,,,1051203,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,701208.0,35.53,1,1,1,有,有,5100000,143541.0,,0.0,0,,RPWOMLNKJHMFFCA97DA,121.53298590000001,25.0456563
中山區,車位,臺北市中山區天祥路61~90號,1.05,商,,,1051225,土地0建物0車位1,一層,十四層,其他,商業用,鋼筋混凝土造,931203.0,36.17,0,0,0,有,有,2000000,,坡道平面,36.17,2000000,,RPTPMLNKJHMFFCA77DA,121.5207947,25.0633016
中山區,建物,臺北市中山區長春路258巷1~30號,0.0,,,,1051217,土地0建物1車位1,五層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,850924.0,96.32,1,1,1,有,有,5300000,111082.0,坡道平面,57.61,1000000,,RPVPMLNKJHMFFCA97DA,121.5308377,25.054746100000003
大安區,房地(土地+建物),臺北市大安區嘉興街323巷1~30號,26.85,住,,,1051116,土地2建物1車位0,一層,十四層,其他,商業用,鋼筋混凝土造,890626.0,138.79,0,0,1,有,無,52894800,381114.0,,0.0,0,辦公室。,RPVNMLSKJHMFFFA48CA,121.55341680000001,25.022125600000003
萬華區,房地(土地+建物),臺北市萬華區柳州街1~30號,4.26,商,,,1051228,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810316.0,34.56,0,0,0,無,有,4900000,141782.0,,0.0,0,,RPSNMLKKJHMFFBA96CA,121.5055243,25.0392242
大安區,房地(土地+建物),臺北市大安區復興南路二段61~90號,21.88,商,,,1051125,土地4建物1車位0,二層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,,177.32,2,1,1,有,有,35940000,202684.0,,0.0,0,含增建或未登記建物。,RPWOMLLKJHMFFFA97CA,121.5437387,25.0309545
北投區,房地(土地+建物),臺北市北投區溫泉路61~90號,3.49,其他,,,1051201,土地1建物1車位0,二層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,700218.0,27.15,0,0,0,無,有,2700000,99448.0,,0.0,0,,RPQNMLLKJHMFFEA17CA,121.5046006,25.1349687
中山區,車位,臺北市中山區龍江路1~30號,0.58,商,,,1060103,土地0建物0車位2,一層,十二層,其他,商業用,鋼筋混凝土造,941208.0,36.64,0,0,0,有,有,1550000,,塔式車位,36.64,1550000,,RPRQMLKLJHMFFCA37CA,121.540523,25.0470691
中山區,房地(土地+建物),臺北市中山區雙城街10巷1~30號,24.19,商,,,1051205,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,650811.0,77.41,0,0,0,無,無,21800000,281617.0,,0.0,0,,RPWQMLNLJHMFFCA18CA,121.5242889,25.0642289
中山區,房地(土地+建物),臺北市中山區德惠街1~30號,3.75,商,,,1051006,土地1建物1車位0,四層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,710419.0,39.0,1,1,1,有,有,6100000,156410.0,,0.0,0,,RPRNMLLLJHMFFCA17CA,121.52300679999999,25.066913
中山區,車位,臺北市中山區農安街1~30號,2.3,商,,,1051229,土地0建物0車位2,一層,十四層,其他,商業用,鋼筋混凝土造,980622.0,48.53,0,0,0,有,有,5000000,,坡道平面,0.0,5000000,,RPPQMLLKJHMFFCA17CA,121.5295986,25.064967000000003
士林區,房地(土地+建物),臺北市士林區天母西路1~30號,22.13,其他,,,1051101,土地2建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670125.0,146.9,1,1,2,有,有,21770000,148196.0,,0.0,0,含增建或未登記建物。,RPWSMLNLJHMFFEA68DA,121.5295361,25.1185814
士林區,房地(土地+建物),臺北市士林區天母西路1~30號,25.94,其他,,,1051101,土地2建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670125.0,160.6,2,2,1,有,有,25680000,159900.0,,0.0,0,含增建或未登記建物。,SPWSMLNLJHMFFEA78DA,121.5295361,25.1185814
松山區,房地(土地+建物)+車位,臺北市松山區復興北路151~180號,24.92,商,,,1051205,土地2建物1車位1,十四層,十七層,辦公商業大樓,商業用,鋼筋混凝土造,771105.0,297.54,0,1,0,有,有,66680000,248076.0,坡道平面,42.86,3500000,含增建或未登記建物。,RPVPMLNLJHMFFDA18DA,121.544471,25.053642899999996
內湖區,房地(土地+建物),臺北市內湖區成功路四段30巷1~30號,9.92,商,,,1051226,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830701.0,77.07,2,1,1,有,有,16200000,210199.0,,0.0,0,,RPPNMLMKJHMFFCA96CA,121.59153300000001,25.081693899999998
中山區,房地(土地+建物),臺北市中山區林森北路511~540號,3.47,商,,,1051210,土地1建物1車位0,十一層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,940826.0,37.69,1,1,1,有,有,8500000,225524.0,,0.0,0,權利人地址有難字 含增建或未登記建物。權利人姓名有難字,RPTNMLQKJHMFFCA77CA,121.52574550000001,25.061975600000004
中山區,車位,臺北市中山區雙城街19巷1~30號,0.14,商,,,1060109,土地0建物0車位1,一層,十四層,其他,商業用,鋼筋混凝土造,970312.0,25.82,0,0,0,有,有,925000,,升降機械,25.82,925000,,RPPQMLSKJHMFFCA87CA,121.5245371,25.065313
中正區,房地(土地+建物),臺北市中正區博愛路1~30號,5.91,商,,,1051224,土地2建物1車位0,六層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,661230.0,47.01,0,1,1,有,有,7900000,168049.0,,0.0,0,,RPOPMLTKJHMFFBA67CA,121.5114555,25.0462643
大同區,房地(土地+建物),臺北市大同區南京西路331~360號,3.12,其他,,,1051227,土地1建物1車位0,七層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,671107.0,33.16,1,1,1,有,有,4000000,120627.0,,0.0,0,,RPTNMLNKJHMFFBA37CA,121.51104099999999,25.053716899999998
大同區,房地(土地+建物),臺北市大同區承德路二段91~120號,2.75,住,,,1051227,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,761003.0,12.1,3,2,2,有,無,2500000,206612.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLMKJHMFFBA86CA,121.51839540000002,25.0563058
中山區,房地(土地+建物),臺北市中山區復興北路151~180號,6.57,商,,,1051221,土地1建物2車位0,十三層,十六層,辦公商業大樓,商業用,鋼筋混凝土造,851205.0,48.42,0,0,1,無,有,11000000,227226.0,,0.0,0,,RPSPMLRJKHMFFCA97CA,121.544471,25.053642899999996
內湖區,房地(土地+建物),臺北市內湖區康樂街136巷3弄1~30號,9.77,商,,,1051215,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,870122.0,64.72,2,1,1,有,有,8280000,127936.0,,0.0,0,,RPXNMLQLJHMFFCA28CA,121.6188405,25.0720392
松山區,房地(土地+建物),臺北市松山區復興北路181~210號,22.93,商,,,1050917,土地4建物1車位0,十四層,十五層,辦公商業大樓,商業用,鋼筋混凝土造,750205.0,252.48,1,0,1,有,有,61000000,241603.0,,0.0,0,含增建或未登記建物。含無產權車位。,RPOOMLNKJHMFFDA17CA,121.54444790000001,25.0548084
松山區,房地(土地+建物),臺北市松山區民生東路五段36巷8弄1~30號,11.91,其他,,,1051211,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,670602.0,31.68,1,1,1,有,無,10800000,340909.0,,0.0,0,,RPPQMLNLJHMFFDA57CA,121.5591537,25.0573336
士林區,房地(土地+建物)+車位,臺北市士林區至善路二段151~180號,48.56,商,,,1051201,土地3建物1車位2,四層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,850619.0,379.52,4,2,4,有,有,54460101,143497.0,坡道平面,0.0,0,,RPVPMLQKJHMFFEA38CA,121.547853,25.099053
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段61~90號,26.4,商,,,1051229,土地1建物1車位1,五層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,731004.0,232.07,1,1,1,有,有,40000000,172362.0,坡道平面,0.0,0,,RPPNMLKLKHMFFDA07CA,121.55944070000001,25.0517366
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段61~90號,54.2,商,,,1051229,土地1建物3車位1,三層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,731004.0,538.32,1,1,1,有,有,90000000,167187.0,坡道平面,0.0,0,,RPRNMLKLKHMFFDA27CA,121.55944070000001,25.0517366
