鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
萬華區,房地(土地+建物),臺北市萬華區內江街31~60號,14.15,商,,,1051215,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740503.0,100.89,3,2,1,有,有,10500000,104074.0,,0.0,0,,RPXOMLSKJHMFFBA38CA,121.503813,25.0417169
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街31~60號,45.97,住,,,1051213,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990209.0,271.36,4,2,2,有,無,52100000,191996.0,坡道平面,34.75,0,親友、員工或其他特殊關係間之交易。,RPPPMLTKJHMFFCA87CA,121.5831781,25.059199600000003
中山區,房地(土地+建物),臺北市中山區長安東路二段31~60號,49.86,商,,,1051129,土地4建物3車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681217.0,246.49,0,0,0,無,有,41000000,166335.0,,0.0,0,,RPQPMLTKJHMFFCA97CA,121.5311785,25.048623000000003
中山區,房地(土地+建物),臺北市中山區長安東路一段56巷1弄1~30號,51.0,商,,,1060103,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,600220.0,123.79,2,1,1,有,無,19500000,157525.0,,0.0,0,,RPXOMLKLJHMFFCA77CA,121.522081,25.049818
中山區,房地(土地+建物)+車位,臺北市中山區松江路391~420號,12.94,住,,,1051223,土地2建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040713.0,156.75,2,2,1,有,有,33900000,248858.0,坡道平面,29.77,2300000,,RPTNMLQLJHMFFCA87CA,121.53354499999999,25.065064000000003
中山區,房地(土地+建物)+車位,臺北市中山區松江路391~420號,29.21,住,,,1051207,土地2建物1車位2,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040713.0,350.07,4,2,3,有,有,89500000,287406.0,坡道平面,59.54,6000000,,RPQNMLQLJHMFFCA57CA,121.53354499999999,25.065064000000003
內湖區,房地(土地+建物),臺北市內湖區康樂街72巷17弄31~60號,24.06,住,,,1051216,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,871020.0,78.41,3,2,2,有,有,12700000,161969.0,,0.0,0,,RPUNMLPLJHMFFCA87CA,121.61749170000002,25.0705217
內湖區,房地(土地+建物)+車位,臺北市內湖區東湖路113巷95弄151~180號,40.18,住,,,1051213,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,791126.0,180.21,4,2,2,有,有,24100000,133733.0,坡道機械,0.0,0,,RPSNMLRJKHMFFCA77CA,121.61479399999999,25.0697549
中山區,房地(土地+建物),臺北市中山區德惠街31~60號,3.61,住,,,1051102,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,710227.0,34.14,1,1,1,有,有,2100000,61511.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUPMLKKKHMFFCA57CA,121.5265779,25.066738600000004
內湖區,房地(土地+建物),臺北市內湖區康樂街72巷17弄121~150號,44.13,住,,,1051129,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760311.0,120.54,3,2,2,有,無,7850000,65124.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLNKKHMFFCA97CA,121.6170615,25.071428
松山區,房地(土地+建物),臺北市松山區三民路107巷1~30號,36.5,住,,,1051130,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.6,3,2,2,有,無,18520000,185944.0,,0.0,0,,RPSNMLOKJHMFFDA57CA,121.5639254,25.055556399999997
