鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
北投區,房地(土地+建物),臺北市北投區溫泉路61~90號,23.43,其他,,,1050901,土地1建物1車位0,屋頂突出物,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,700218.0,160.18,3,2,2,有,有,9750000,60869.0,,0.0,0,,RPXOMLMJKHMFFEA08CA,121.5046006,25.1349687
大安區,房地(土地+建物),臺北市大安區忠孝東路四段216巷31~60號,15.13,住,,,1051205,土地3建物1車位0,一層，騎樓，地下層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,70.52,0,0,0,無,有,46800000,663642.0,,0.0,0,,RPROMLKKJHMFFFA37CA,121.553054,25.0395997
文山區,車位,臺北市文山區木柵路二段109巷91~120號,9.39,住,,,1060102,土地0建物0車位1,地下一層,八層,其他,見使用執照,鋼筋混凝土造,821206.0,18.58,0,0,0,有,無,980000,,升降機械,18.58,980000,,RPTNMLMLKHMFFAA37CA,121.563911,24.991524
士林區,車位,臺北市士林區中山北路七段81巷1~30號,1.88,住,,,1051201,土地0建物0車位1,地下三層,十九層,其他,見使用執照,鋼筋混凝土造,811124.0,29.92,0,0,0,有,有,2500000,,坡道平面,29.92,2500000,,RPOPMLLKJHMFFEA17CA,121.5310804,25.1216193
南港區,房地(土地+建物),臺北市南港區東新街180巷1~30號,20.34,住,,,1051212,土地1建物1車位0,地下一層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,920107.0,71.43,0,0,1,無,有,9900000,138597.0,,0.0,0,,RPQNMLPLJHMFFDA57CA,121.59360500000001,25.046307000000002
南港區,房地(土地+建物),臺北市南港區東新街180巷1~30號,20.99,住,,,1051212,土地1建物1車位0,地下二層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,920107.0,75.03,2,2,1,有,有,11800000,157270.0,,0.0,0,,RPSNMLPLJHMFFDA77CA,121.59360500000001,25.046307000000002
萬華區,房地(土地+建物),臺北市萬華區萬大路121~150號,22.94,住,,,1051208,土地2建物1車位0,地下層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,690119.0,218.21,4,1,2,有,無,8500000,38953.0,,0.0,0,,RPTOMLMKJHMFFBA37CA,121.5005684,25.029338199999998
大安區,房地(土地+建物)+車位,臺北市大安區瑞安街181~210號,12.82,住,,,1051214,土地1建物1車位1,一層，停車場,七層,店面(店鋪),見使用執照,鋼筋混凝土造,670417.0,149.88,0,0,1,有,無,6510500,43438.0,一樓平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLOLJHMFFFA28CA,121.53885359999998,25.025533399999997
內湖區,車位,臺北市內湖區內湖路三段72巷31~60號,4.24,住,,,1060103,土地0建物0車位1,地下二層,二十層,其他,見使用執照,鋼筋混凝土造,830729.0,40.45,0,0,0,有,有,1900000,,坡道平面,40.45,1900000,,RPRPMLQKJHMFFCA77CA,121.59163600000001,25.087184
萬華區,房地(土地+建物),臺北市萬華區成都路61~90號,5.0,商,,,1051109,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),見使用執照,見使用執照,911224.0,53.99,1,0,1,有,有,9700000,179663.0,,0.0,0,,RPTNMLKLJHMFFBA17CA,121.50583629999998,25.0429189
