鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號,lng,lat
信義區,房地(土地+建物),臺北市信義區基隆路一段151~180號,38.83,商,,,1051220,土地1建物1車位0,八層,14,辦公商業大樓,商業用,鋼筋混凝土造,730810,62.8,0,0,0,無,有,無,20000,318,,0,0,,RPSPMLNJJHMFFDA77CC,121.565476,25.04234
松山區,房地(土地+建物),臺北市松山區八德路四段241~270號,17,住,,,1051226,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680227,77,3,2,2,有,無,無,25000,325,,0,0,,RPOQMLNJJHMFFDA47CC,121.5647375,25.0490394
大安區,建物,臺北市大安區永康街23巷1~30號,0,,,,1051231,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651111,50.03,2,1,1,有,無,有,18000,360,,0,0,,RPTNMLNJJHMFFFA87CC,121.529971,25.0333313
大安區,房地(土地+建物),臺北市大安區臥龍街271~300號,55.06,住,,,1051221,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,810224,166.29,1,1,1,有,無,無,46000,277,,0,0,,RPWNMLNJJHMFFFA18CC,121.5565445,25.0186597
大安區,建物,臺北市大安區四維路181~210號,0,其他,,,1060103,土地0建物1車位0,一層,26,店面(店鋪),商業用,鋼筋混凝土造,741204,164.67,0,0,0,無,有,有,130000,789,,0,0,,RPOOMLNJJHMFFFA47CC,121.5481522,25.0280198
大安區,房地(土地+建物),臺北市大安區忠孝東路四段31~60號,10.61,商,,,1051229,土地2建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.87,0,0,0,無,無,無,83000,433,,0,0,,RPQOMLNJJHMFFFA67CC,121.5445569,25.0415414
文山區,建物,臺北市文山區仙岩路22巷1~30號,0,住,,,1051213,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840411,76.6,1,1,1,有,有,有,16000,209,,0,0,,RPWNMLNJJHMFFAA67CC,121.549769,24.998498
中正區,建物,臺北市中正區金華街32巷2弄1~30號,0,住,,,1051227,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730426,118.11,3,1,1,有,有,無,27720,235,,0,0,,RPOOMLNJJHMFFAA96CC,121.521301,25.03084
中山區,建物,臺北市中山區民權東路二段31~60號,0,商,,,1051205,土地0建物1車位0,六層,12,辦公商業大樓,住家用,鋼筋混凝土造,740326,200.35,0,0,0,無,有,有,34560,172,,0,0,,RPXNMLNJJHMFFCA08DC,121.529399,25.062792
信義區,建物,臺北市信義區忠孝東路五段481~510號,0,商,,,1051217,土地0建物1車位0,三層,27,辦公商業大樓,商業用,鋼骨混凝土造,820813,150.95,1,1,0,有,有,有,86843,575,,0,0,,RPPOMLNJJHMFFDA47DC,121.577475,25.041004
大同區,建物,臺北市大同區華陰街91~120號,0,商,,,1051209,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001205,130.05,0,0,0,無,有,有,51084,393,,0,0,,RPVNMLNJJHMFFBA77DC,121.5175818,25.0498408
萬華區,建物,臺北市萬華區萬大路424巷3弄1~30號,0,住,,,1051213,土地0建物1車位0,全,2,透天厝,,加強磚造,,58.76,0,0,0,無,無,無,10000,170,,0,0,,RPPNMLNJJHMFFBA07CC,121.4977815,25.0211057
萬華區,建物,臺北市萬華區萬大路486巷46弄1~30號,0,住,,,1051230,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.99,3,1,1,有,無,無,21000,292,,0,0,,RPQNMLNJJHMFFBA17CC,121.5006447,25.0327132
萬華區,建物,臺北市萬華區萬大路237巷61~90號,0,住,,,1051230,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650930,42.4,1,1,1,有,無,無,10000,236,,0,0,,RPSNMLNJJHMFFBA37CC,121.5007244,25.0309977
