鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
大安區,房地(土地+建物),臺北市大安區忠孝東路四段216巷61~90號,17.43,住,,,1060107,土地2建物1車位0,一層,22.0,住宅大樓(11層含以上有電梯),商業用,見使用執照,761228.0,114.92,0,0,0,無,無,有,160000,1392.0,,0.0,0,,RPQNMLRJJHMFFFA97CC,121.54629299999999,25.041766
松山區,建物,臺北市松山區基隆路一段1~30號,0.0,商,,,1060107,土地0建物1車位1,十五層,18.0,辦公商業大樓,商業用,鋼筋混凝土造,840126.0,244.95,0,0,0,無,有,無,60000,245.0,升降平面,33.48,0,,RPTNMLSJJHMFFDA18CC,121.5694483,25.0499641
中山區,建物,臺北市中山區中山北路一段105巷1~30號,0.0,商,,,1051217,土地0建物0車位0,二層,8.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,650310.0,34.25,5,5,5,有,有,有,16000,467.0,,0.0,0,,RPQOMLTJJHMFFCA97CC,121.522477,25.050985999999998
中山區,建物,臺北市中山區五常街53巷1~30號,71.4,住,,,1051231,土地0建物1車位0,一層,5.0,店面(店鋪),商業用,鋼筋混凝土造,680605.0,71.4,0,0,0,無,無,有,39000,546.0,,0.0,0,,RPROMLTJJHMFFCA08CC,121.539681,25.064474
中山區,建物,臺北市中山區中山北路二段115巷1~30號,0.0,商,,,1051216,土地0建物1車位0,五層,17.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,791019.0,93.54,2,2,1,有,有,有,36000,385.0,,0.0,0,,RPTOMLTJJHMFFCA28CC,121.522842,25.0524875
中山區,建物,臺北市中山區德惠街151~180號,0.0,商,,,1051223,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,760916.0,142.06,0,0,0,無,無,無,66000,465.0,,0.0,0,,RPUPMLTJJHMFFCA48CC,121.53088819999999,25.0666019
大安區,建物,臺北市大安區信義路四段265巷5弄1~30號,0.0,住,,,1060106,土地0建物1車位0,一層,7.0,店面(店鋪),商業用,鋼筋混凝土造,710727.0,101.53,0,0,0,無,無,無,68000,670.0,,0.0,0,,RPPNMLTJJHMFFFA08CC,121.5544755,25.0338728
大安區,建物,臺北市大安區復興南路一段61~90號,0.0,商,,,1051214,土地0建物1車位0,一層,16.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,701230.0,173.9,0,0,0,無,有,無,340740,1959.0,,0.0,0,,RPUNMLTJJHMFFFA58CC,121.544126,25.045136
大安區,建物,臺北市大安區復興南路一段61~90號,0.0,商,,,1051214,土地0建物1車位0,二層,16.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,701230.0,170.81,2,1,1,有,有,無,56760,332.0,,0.0,0,,RPVNMLTJJHMFFFA68CC,121.544126,25.045136
士林區,建物,臺北市士林區文林路121~150號,0.0,商,,,1051208,土地0建物1車位0,一層,4.0,店面(店鋪),商業用,鋼筋混凝土造,660214.0,78.65,0,0,0,無,無,無,150000,1907.0,,0.0,0,,RPRPMLKKJHMFFEA57CC,121.52627450000001,25.0885488
中正區,建物,臺北市中正區寧波西街31~60號,0.0,商,,,1051223,土地0建物1車位0,五層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,860610.0,113.39,2,2,1,有,有,有,45000,397.0,,0.0,0,租金含管理費,RPRNMLKKJHMFFAA96CC,121.5181331,25.0311845
中正區,建物,臺北市中正區羅斯福路二段181~210號,0.0,商,,,1051219,土地0建物1車位0,三層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,770112.0,91.0,3,2,2,有,有,無,35000,385.0,,0.0,0,,RPXNMLKKJHMFFAA57CC,121.52378610000001,25.0250954
中山區,建物,臺北市中山區農安街1~30號,0.0,商,,,1051216,土地0建物1車位0,三層,14.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,980622.0,44.76,1,1,1,有,有,有,23000,514.0,,0.0,0,,RPSOMLKKJHMFFCA37CC,121.5295986,25.064967000000003
