鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
大安區,建物,臺北市大安區大安路一段96巷1~30號,0.0,住,,,1051231,土地0建物1車位1,五層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,940420.0,194.9,3,2,2,有,有,有,70000,359.0,坡道平面,0.0,0,,RPRNMLKLJHMFFFA57CC,121.545759,25.040723899999996
大安區,建物,臺北市大安區敦化南路一段233巷61~90號,0.0,住,,,1060111,土地0建物1車位0,一層,7.0,店面(店鋪),住家用,鋼筋混凝土造,601201.0,122.14,0,0,0,無,有,無,200000,1637.0,,0.0,0,,RPOOMLKLJHMFFFA37CC,121.5524291,25.040481699999997
大安區,建物,臺北市大安區忠孝東路四段181巷7弄1~30號,0.0,住,,,1060111,土地0建物1車位0,一層,7.0,店面(店鋪),住家用,鋼筋混凝土造,,148.31,0,0,0,無,有,有,350000,2360.0,,0.0,0,,RPUOMLKLJHMFFFA97CC,121.5513861,25.0421807
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.94,商,,,1050113,土地1建物1車位0,二十一層,26.0,套房(1房1廳1衛),住家用,見其他登記事項,1050331.0,58.31,0,0,0,無,有,有,18000,309.0,,0.0,0,,RPQNMLLLJHMFFBA27DC,121.5020696,25.0397957
松山區,建物,臺北市松山區光復南路31~60號,68.73,商,,,1060116,土地0建物1車位0,全,3.0,透天厝,住家用,加強磚造,550301.0,68.73,0,0,0,無,無,無,20000,291.0,,0.0,0,,RPRNMLLLJHMFFDA47CC,121.55773229999998,25.046699800000003
內湖區,建物,臺北市內湖區金湖路358巷1~30號,0.0,住,,,1060116,土地0建物1車位0,四層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990323.0,194.71,4,2,2,有,無,有,53800,276.0,,0.0,0,,RPTNMLLLJHMFFCA57CC,121.59505949999999,25.083879500000002
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段391~420號,29.32,住,,,1051201,土地2建物1車位1,八層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,891016.0,109.57,3,2,2,有,有,無,28000,256.0,坡道平面,0.0,0,,RPVNMLLLJHMFFCA77CC,121.6072753,25.075501199999998
中山區,建物,臺北市中山區林森北路481~510號,5.22,商,,,1060119,土地0建物1車位0,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920122.0,49.05,1,1,1,有,無,有,20000,408.0,,0.0,0,,RPQOMLNLJHMFFCA57CC,121.5257123,25.061131699999997
中山區,建物,臺北市中山區民權東路一段31~60號,0.0,商,,,1051231,土地0建物1車位0,五層,12.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,961002.0,32.78,0,1,1,有,有,無,17500,534.0,,0.0,0,,RPUPMLNLJHMFFCA08CC,121.52410520000001,25.062994600000003
松山區,房地(土地+建物)+車位,臺北市松山區慶城街31~60號,42.19,其他,,,1060119,土地1建物1車位3,六層,15.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010903.0,895.51,5,3,5,有,有,無,400000,447.0,坡道平面,112.26,0,,RPQPMLNLJHMFFDA77CC,121.545534,25.054026
